TEST NAME,POINTS,OUT OF,NOTES
valgrind_suite/valgrind_normal_url_leak,0,1,tests/valgrind_tests.c:21: Valgrind reports leaks
valgrind_suite/valgrind_normal_url_basic,1,1,
valgrind_suite/valgrind_no_url_02_leak,1,1,
valgrind_suite/valgrind_no_url_02_basic,1,1,
valgrind_suite/valgrind_no_url_01_leak,1,1,
valgrind_suite/valgrind_no_url_01_basic,1,1,
valgrind_suite/valgrind_invalid_host_leak,0,1,tests/valgrind_tests.c:69: Valgrind reports leaks
valgrind_suite/valgrind_invalid_host_basic,0,1,tests/valgrind_tests.c:61: Valgrind reports memory errors
url_suite/url_no_slash,1,1,
url_suite/url_no_method,1,1,
url_suite/parse_normal_url,1,1,
http_suite/query_header_test,1,1,
http_suite/not_found_test,1,1,
http_suite/move_test,0,1,The test crashed.
http_suite/basic_test,1,1,
end_to_end_suite/stark_front_page,1,1,
end_to_end_suite/stark_invalid,1,1,
end_to_end_suite/outfile_args,1,1,
end_to_end_suite/no_url_args,1,1,
end_to_end_suite/invalid_flag,1,1,
end_to_end_suite/http_only,1,1,
end_to_end_suite/cant_contact_host,0,1,"tests/end2end_tests.c:48: Program exited with incorrect status: 139, expected: 255"
total,17,22,
